,year,return_annual,vol_annual,sharp_ratio
0,2007.0,-0.23679012215673334,0.039577179357629055,-5.982996413590771
1,2008.0,-0.3975134559745681,0.044828362425632436,-8.86745431832401
2,2009.0,-0.30060756895728746,0.03703829344825031,-8.11612903756742
3,2010.0,-0.26999892794299185,0.02389516680751652,-11.299311284073578
4,2011.0,-0.29248129150095814,0.025689040555793432,-11.385450183152026
5,2012.0,-0.2316204008996574,0.02233907201341637,-10.368398506462182
6,2013.0,-0.2000013874278631,0.022166169739769415,-9.022821253102235
7,2014.0,-0.18340634673115153,0.02470758752764527,-7.423077891596601
8,2015.0,-0.14651462276827887,0.02591963336978117,-5.65265027780429
9,2016.0,-0.13520492438961274,0.03470991832381847,-3.895282124499644
10,2017.0,-0.1732142931897951,0.02345643944231138,-7.384509214017636
11,2018.0,-0.2231439417648704,0.02484881588963531,-8.98006338635822
12,2019.0,-0.1709868920552795,0.024917594350217797,-6.862094697106463
13,2020.0,-0.3185137931130725,0.0426843325666481,-7.462077393754235
14,2021.0,-0.3180709852159346,0.02800887418086422,-11.356078904208225
15,2022.0,-0.2782909523660779,0.028413983504795442,-9.794154780131784
