,year,return_annual,vol_annual,sharp_ratio
0,2007.0,-0.08374539592581698,0.0961436149390949,-0.8710448008312154
1,2008.0,-0.06979378235333766,0.13351542496624247,-0.522739469023778
2,2009.0,0.03913445455976938,0.13466535789303108,0.29060520962529285
3,2010.0,-0.00017497985991610232,0.07946231255717907,-0.0022020484212587096
4,2011.0,0.12837996377779137,0.07695153130673167,1.6683224049962573
5,2012.0,0.073527997465336,0.07382477625217582,0.9959799568396109
6,2013.0,0.08342431193847566,0.0732237528144656,1.1393066966924823
7,2014.0,-0.032394571987333975,0.066056144577706,-0.49040966884202875
8,2015.0,0.007107326580227058,0.0770749254059291,0.09221321386683193
9,2016.0,0.08581478379903462,0.09500645167703595,0.9032521716604321
10,2017.0,0.09882082998601782,0.07341259176668982,1.3461019098750402
11,2018.0,0.03671138707990118,0.06093529736896411,0.6024650517025165
12,2019.0,-0.06838018835717175,0.06368884253916243,-1.073660403156559
13,2020.0,0.01244208069042907,0.09024154593034801,0.13787530523947758
14,2021.0,-0.023172406169032933,0.07651739517396917,-0.30283840839522025
15,2022.0,0.28844413360802257,0.08763095266552286,3.291578201928036
