,year,return_annual,vol_annual,sharp_ratio
0,2007.0,0.09317011336622838,0.041958941317501094,2.220506772590258
1,2008.0,0.20004571388434456,0.061826682318651585,3.2355886873133364
2,2009.0,0.23454225195444844,0.0696727059792047,3.3663433715988087
3,2010.0,0.28679738839731894,0.048516853822001355,5.9112940309262685
4,2011.0,0.4152249803584718,0.054392606501572564,7.633849654667074
5,2012.0,0.3843621936491919,0.05043094660191074,7.621554215177652
6,2013.0,0.27531755693505233,0.04748487740842567,5.798005006246478
7,2014.0,0.4115079347726498,0.05298306840715825,7.766781863412297
8,2015.0,0.4126920032829364,0.05482399827831441,7.527579458687098
9,2016.0,0.6137537478198132,0.07130652284498477,8.60725952314446
10,2017.0,0.30679503317027557,0.04473002740404337,6.858816123652606
11,2018.0,0.25359636114180395,0.048954697288598685,5.18022529374041
12,2019.0,0.4164322252352646,0.05243871376503776,7.941312731299497
13,2020.0,0.153985063389682,0.09475568510624825,1.6250746666758902
14,2021.0,0.39080220754812744,0.06542861297895579,5.972955710887889
15,2022.0,0.4071421610136736,0.06750614755488613,6.031186429097367
