,year,return_annual,vol_annual,sharp_ratio
0,2007.0,0.26074389429338085,0.10238468968480745,2.546707863217481
1,2008.0,0.3640494665738385,0.17859016410555267,2.038463139317534
2,2009.0,0.4897381614428069,0.13355039737754526,3.6670662990116263
3,2010.0,0.43143323921088683,0.09998419521329835,4.315014370926339
4,2011.0,0.1432276032565074,0.09902187347004236,1.4464238883526965
5,2012.0,0.20411603352683305,0.08439571891441754,2.4185590946125988
6,2013.0,0.5251466001711775,0.09785721859573088,5.366457454106381
7,2014.0,0.3555171019458523,0.07466507413477194,4.761491313919234
8,2015.0,0.2282176915141989,0.09840719324315662,2.319115950703832
9,2016.0,0.5608651331470542,0.13021764306771746,4.3071362676667855
10,2017.0,0.4899658365408148,0.09488503874148921,5.163783911979092
11,2018.0,0.27943255339454365,0.09934078244945066,2.8128684564844484
12,2019.0,0.34129883192123156,0.10101085836718589,3.3788331020866265
13,2020.0,0.5662483914327514,0.136628031771336,4.144452526260778
14,2021.0,0.311448499337152,0.12591582907327345,2.4734658194238044
15,2022.0,0.156870748448539,0.12428320235267279,1.2622039461406378
